ONSConstID,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000729,Harlow,0.431687715,0.245694604,0.098737084,0.053960964,0.141216992,NA,0.028702641,Lab
E14000730,Harrogate and Knaresborough,0.405737705,0.111680328,0.308401639,0.054303279,0.094262295,NA,0.025614754,Lib Dem
E14000731,Harrow East,0.37704918,0.290983607,0.150614754,0.055327869,0.100409836,NA,0.025614754,Lab
E14000732,Harrow West,0.289881495,0.371011851,0.169553327,0.056517776,0.090246126,NA,0.022789426,Lab
E14000733,Hartlepool,0.2526574,0.322976288,0.092395748,0.05478332,0.256745707,NA,0.020441537,Lab
E14000734,Harwich and North Essex,0.424829157,0.170842825,0.153758542,0.059225513,0.16287016,NA,0.028473804,Lab
E14000735,Hastings and Rye,0.351648352,0.277472528,0.151098901,0.062271062,0.134615385,NA,0.022893773,Lab
E14000736,Havant,0.455069124,0.149769585,0.152073733,0.061059908,0.153225807,NA,0.028801843,Lib Dem
E14000737,Hayes and Harlington,0.274691358,0.380658436,0.133744856,0.055555556,0.12962963,NA,0.025720165,Lab
E14000738,Hazel Grove,0.359232176,0.137111517,0.320840951,0.042047532,0.117915905,NA,0.02285192,Lib Dem
E14000739,Hemel Hempstead,0.384773663,0.197530864,0.201646091,0.062757202,0.127572017,NA,0.025720165,Lib Dem
E14000740,Hemsworth,0.282343369,0.311635476,0.130187144,0.056143206,0.199349064,NA,0.020341741,Lab
E14000741,Hendon,0.343065693,0.236313869,0.268248175,0.046532847,0.083029197,NA,0.022810219,Lib Dem
E14000742,Henley,0.445578231,0.105442177,0.265306122,0.075963719,0.079365079,NA,0.028344671,Lib Dem
E14000743,Hereford and South Herefordshire,0.400208986,0.137931035,0.137931035,0.112852665,0.184952978,NA,0.026123302,Lib Dem
E14000744,Hertford and Stortford,0.423863636,0.161363636,0.195454546,0.084090909,0.106818182,NA,0.028409091,Lib Dem
E14000745,Hertsmere,0.447727273,0.164772727,0.189772727,0.0625,0.106818182,NA,0.028409091,Lib Dem
E14000746,Hexham,0.438138479,0.192962543,0.19523269,0.059023837,0.086265607,NA,0.028376844,Lib Dem
E14000747,Heywood and Middleton,0.335483871,0.335483871,0.113364055,0.037788018,0.15483871,NA,0.023041475,Lab
E14000748,High Peak,0.339090909,0.275454546,0.198181818,0.047272727,0.117272727,NA,0.022727273,Lab
E14000749,Hitchin and Harpenden,0.332725615,0.161349134,0.309024613,0.069279854,0.104831358,NA,0.022789426,Lib Dem
E14000750,Holborn and St Pancras,0.182025028,0.439135381,0.217292378,0.081911263,0.051194539,NA,0.028441411,Lab
E14000751,Hornchurch and Upminster,0.422957601,0.180972079,0.119958635,0.051706308,0.198552223,NA,0.025853154,Lab
E14000752,Hornsey and Wood Green,0.164220184,0.375229358,0.316513762,0.064220183,0.056880734,NA,0.02293578,Lab
E14000753,Horsham,0.448747153,0.121867882,0.234624146,0.067198178,0.099088838,NA,0.028473804,Lib Dem
E14000754,Houghton and Sunderland South,0.266233766,0.351576994,0.121521336,0.051948052,0.185528757,NA,0.023191095,Lab
E14000755,Hove,0.267144319,0.392016377,0.174002047,0.07778915,0.06345957,NA,0.025588536,Lab
E14000756,Huddersfield,0.290491118,0.386624869,0.113897597,0.072100313,0.1107628,NA,0.026123302,Lab
E14000757,Huntingdon,0.432494279,0.175057208,0.204805492,0.054919908,0.104118993,NA,0.028604119,Lib Dem
E14000758,Hyndburn,0.335180055,0.347183749,0.087719298,0.038781163,0.168051708,NA,0.023084026,Lab
E14000759,Ilford North,0.33120438,0.36770073,0.134124088,0.035583942,0.108576642,NA,0.022810219,Lab
E14000760,Ilford South,0.195088677,0.491132333,0.139154161,0.054570259,0.085948158,NA,0.034106412,Lab
E14000761,Ipswich,0.344352617,0.280991736,0.12855831,0.075298439,0.147842057,NA,0.022956841,Lab
E14000762,Isle of Wight,0.341620626,0.138121547,0.172191529,0.137200737,0.187845304,NA,0.023020258,Green
E14000763,Islington North,0.161327231,0.429061785,0.235697941,0.112128147,0.033180778,NA,0.028604119,Lab
E14000764,Islington South and Finsbury,0.209494324,0.386996904,0.264189887,0.06501548,0.048503612,NA,0.025799794,Lab
E14000765,Jarrow,0.246632124,0.38238342,0.131606218,0.056994819,0.156476684,NA,0.025906736,Lab
E14000766,Keighley,0.321543408,0.286173633,0.143086817,0.057877814,0.171221865,NA,0.020096463,Lab
E14000767,Kenilworth and Southam,0.433598184,0.12599319,0.245175936,0.071509648,0.095346198,NA,0.028376844,Lib Dem
E14000768,Kensington,0.311146752,0.227746592,0.296712109,0.066559743,0.077786688,NA,0.020048115,Lib Dem
E14000769,Kettering,0.42002064,0.19504644,0.157894737,0.062951496,0.138286894,NA,0.025799794,Lab
E14000770,Kingston and Surbiton,0.320696721,0.098360656,0.417008197,0.06147541,0.076844262,NA,0.025614754,Lib Dem
E14000771,Kingston upon Hull East,0.24742268,0.370196814,0.092783505,0.044048735,0.222118088,NA,0.023430178,Lab
E14000772,Kingston upon Hull North,0.236897275,0.385744235,0.147798742,0.054507338,0.14884696,NA,0.026205451,Lab
E14000773,Kingston upon Hull West and Hessle,0.240986717,0.356736243,0.111954459,0.058823529,0.207779886,NA,0.023719165,Lab
E14000774,Kingswood,0.395061728,0.223251029,0.175925926,0.057613169,0.122427984,NA,0.025720165,Lab
E14000775,Knowsley,0.119808307,0.584664537,0.094249201,0.046325879,0.115015974,NA,0.039936102,Lab
